course_title,subject_catalog,instructors,year_term,term_type,start_date,end_date,start_time,end_time,weekdays,class_number,course_id,consent,enrolled,waitlist,lecture_sunday,lecture_monday,lecture_tuesday,lecture_wednesday,lecture_thursday,lecture_friday,lecture_saturday,description,notes,school,units,cross_registration,department,course_component,instruction_mode,grading_basis,course_requirements,general_education,quantitative_reasoning,divisional_distribution
Direction of Doctoral Dissertations in Landscape Architecture,DESIGN  307,,2025 Fall,Dynamically Dated,2025-09-02,2025-12-03,,,,12475,120264,No Consent,0/9999,0,False,False,False,False,False,False,False,"Indicates time spent researching, reading, or writing in relation to doctoral studies.",,Faculty of Arts & Sciences,4,Not Available for Cross Registration,"Arch, Landscape & Urban Plan",Doctoral Dissertation,N/A,FAS Ungraded,N/A,N/A,N/A,None
Intermediate Quantitative Research Methods,SOCIOL 2202,,2025 Fall,Full Term,2025-09-02,2025-12-03,9:45am,11:45am,Tue Thu,12410,119985,Instructor,0/99,0,False,False,True,False,True,False,False,"This course covers the fundamentals of descriptive and inferential techniques used in quantitative sociological research. Topics include (a) an introduction to probability, random variables, and statistical inference, (b) the linear regression model for continuous response variables, with a focus on assumptions and interpretation, and (c) the logit/probit model for binary response variables. Motivation, application, and presentation are stressed. The aim of this course is to develop the skills necessary to be both a consumer and a producer of quantitative sociological research.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Sociology,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,None
Molecular Mechanisms Underlying the Pathogenesis of Human Malaria,BPH  372,Manoj Duraisingh,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12324,120257,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Bio Sciences in Public Health,Thesis Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Graduate Reading in Number Theory,MATH  389,Noam D. Elkies,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,13615,119721,Instructor,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Mathematics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,Prerequisite: Graduate Students Only,N/A,N/A,None
Graduate Student Workshop in Environmental Economics,ECON 3016A,"Robert Stavins, James H. Stock",2025 Fall,Full Term,2025-09-02,2025-12-03,12:00pm,12:59pm,Fri,12669,120837,Instructor,0,0,False,False,False,False,False,True,False,Participants discuss recent research in environmental and natural resource economics and present their own work in progress. Students must complete both parts of this course (parts A and B) within the same academic year in order to receive credit.,Open to doctoral students only.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Economics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Condensed Matter and Atomic Physics,PHYSICS  339A,Subir Sachdev,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,11102,120869,Instructor,0,0,False,False,False,False,False,False,False,Reading and research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Structural Studies of Synapses,MCB  367A,Jeff W. Lichtman,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,11180,120271,Instructor,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Molecular & Cellular Biology,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Experimental Soft Condensed Matter and Materials Physics,PHYSICS  351B,Vinothan Manoharan,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,11105,120873,Instructor,0,0,False,False,False,False,False,False,False,Dissertation research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Doctoral Dissertation,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Latin Literature: Texts and Contexts,LATIN  112A,Richard Thomas,2025 Fall,Full Term,2025-09-02,2025-12-03,1:30pm,2:45pm,Mon Wed Fri,16938,120352,No Consent,0,0,False,True,False,True,False,True,False,"This year-long course (with Latin 112b) is designed to help students develop a map of Latin literary culture. Students are allowed to take either or both halves of the course. The class prepares students to discuss Latin literature in its historical and cultural context with chronology, genre, theme, performance, and reception context as organizational frameworks. Through prepared translation of assigned text, reading practice sessions, and interpretative exercises, students will improve their reading fluency and enhance their ability to read and interpret a range of Latin texts. Latin 112a focuses on Latin literature from its earliest glimmers down to texts dating from the early Augustan period. Latin 112b focuses on literature of the Imperial Era. This course is designed for advanced readers of Latin with previous experience with a range of Latin authors and genres.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,"Classics, The",Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Experimental Soft Condensed Matter and Materials Physics,PHYSICS  351A,Vinothan Manoharan,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,11104,120872,Instructor,0,0,False,False,False,False,False,False,False,Reading and research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
