course_code,course_title,course_teacher,link,fas_code,unique_code,course_id,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev,sentiment_score_mean,sentiment_score_median,sentiment_score_mode,sentiment_score_stdev,gem_probability_mean,gem_probability_median,gem_probability_mode,gem_probability_stdev,best_comment,max_sent_score,worse_comment,min_sent_score,best_gem_comment,max_gem_probability
AFRAMER 10,Introduction to African American Studies 001,Perry,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2176481b933ab4e01137fdc6600861b1cf34471f8b39919697c49770819f1fc6cd1a15b394e9b8e3f1ab1199402b1641&ReportType=2&regl=en-US,FAS-122910-2248-1-1-001,FAS-122910-2248-1-1-001(Perry),122910,21,24,4.11,4.0,4.0,0.8515582864088137,4.44,5.0,5.0,0.9101191304896125,5.47,4.0,5.0,3.76,4.26,4.0,4.0,0.65,0.8266857142857142,0.8876,0.9783,0.17819971407170687,0.0,0.0,0.0,0.0,"This is a great class for every Harvard student, regardless of their concentration! The style and syllabus depends on the professor teaching, but I really enjoyed Prof. Perry’s iteration of the course. Lecture is really interesting and is the main draw for a class like this. Beyond that, assignments are very few, open–ended, and easy, so very enjoyable, highly recommend!",0.9833,,0.0,,0.0
AFRAMER 11,Introduction to African Studies 001,Glovsky,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=94fc880f612d98eb1811c82d2cacaecc00f57dd1570d01d401f3d5cef7c31d722824b466263cda1b82dbb569b03b8309&ReportType=2&regl=en-US,FAS-123591-2248-1-1-001,FAS-123591-2248-1-1-001(Glovsky),123591,5,7,4.6,5.0,5.0,0.49236596391733095,4.8,5.0,5.0,0.40201512610368484,10.2,12.0,12.0,3.63,4.6,5.0,5.0,0.55,0.9817,0.9817,0.9817,-1.0,0.0,0.0,0.0,-1.0,"Take this course!! David Glovsky and Jacob Olupona are both incredible professors. It's very discussion based and informative in an enjoyable manner. It is important to do the readings as they're necessary for participating in class, lol. Olupona is great at lecturing; even if you're someone with a bad attention span like me, he literally captivates you with the way he talks. Both professors are insanely knowledgable. Glovsky is also incredible at giving feedback, challenging your thoughts and assumptions, and is super accommodating. Great course, loved my classmates and professors. Please take it!!!",0.9817,,0.0,,0.0
AFRAMER 11,Introduction to African Studies 001,Olupona,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=70d6936adea85cdc77b255ed338d14634a14a246c3e205cfde1a5c3d8fec9667a8606ade392bba7f2bac7a8d9d1d4b85&ReportType=2&regl=en-US,FAS-123591-2248-1-1-001,FAS-123591-2248-1-1-001(Olupona),123591,5,7,4.6,5.0,5.0,0.49236596391733095,4.8,5.0,5.0,0.40201512610368484,10.2,12.0,12.0,3.63,4.6,5.0,5.0,0.55,0.9817,0.9817,0.9817,-1.0,0.0,0.0,0.0,-1.0,"Take this course!! David Glovsky and Jacob Olupona are both incredible professors. It's very discussion based and informative in an enjoyable manner. It is important to do the readings as they're necessary for participating in class, lol. Olupona is great at lecturing; even if you're someone with a bad attention span like me, he literally captivates you with the way he talks. Both professors are insanely knowledgable. Glovsky is also incredible at giving feedback, challenging your thoughts and assumptions, and is super accommodating. Great course, loved my classmates and professors. Please take it!!!",0.9817,,0.0,,0.0
AFRAMER 111X,"Africa in the Twentieth Century: Culture, Representation, and New Diasporas 001",Ogene,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=acb90099ac54cfad1ff1b6c68901914b3d85c5e62091ece85ef6ac767787d69f7ae9bfb2885ccbb6ecf8647de2d0d0f3&ReportType=2&regl=en-US,FAS-222142-2248-1-1-001,FAS-222142-2248-1-1-001(Ogene),222142,13,18,4.82,5.0,5.0,0.3861229196653691,5.0,5.0,5.0,0.0,6.73,5.0,3.0,5.1,4.91,5.0,5.0,0.3,0.9299285714285714,0.9493,0.8735,0.03901336156949797,0.0,0.0,0.0,0.0,"PLEASE TAKE THIS CLASS! If you see a course taught by Prof. Ogene, you sign up for it. This was hands down my favorite class I've taken here. Prof. Ogene is one of the best professors at this college—he’s incredibly intelligent, kind, and genuinely cares about his students. This was my second course with him, and once again, everything about it was so thoughtfully structured. The class discussions were a highlight because we had such a diverse group of students with different backgrounds (Nigeria, London, Ivory Coast, etc) and academic focuses. From PhD candidates in African Studies and Religion to MBA students, and STEM/Humanities undergraduates, everyone brought their unique perspectives to the table and it made for productive, nuanced conversations.",0.9785,,0.0,,0.0
AFRAMER 133Y,The Politics of Paradise: Tourism in Latin America & the Caribbean 001,Henry,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d3a164a79d4c6a0bb18b5b6ca773152a9c92c2f711fb187a73ec6d32dcdebb17fd6f217ebaca05e0ef92f8e94aea695d&ReportType=2&regl=en-US,FAS-224623-2248-1-1-001,FAS-224623-2248-1-1-001(Henry),224623,7,7,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,4.43,4.0,4.0,1.72,5.0,5.0,5.0,0.0,0.9111666666666667,0.9286,0.9748,0.06500386655166498,0.0,0.0,0.0,0.0,"TAKE THIS CLASS! The best course I have taken at Harvard. Politics of Paradise offers an incredibly engaging and thoughtful exploration of tourism, colonialism, and the erasure of indigenous and local perspectives. The readings and lectures were consistently captivating, and the experiential learning component, with its mini excursions, brought the material to life in ways I never expected.This course fundamentally shifted how I think about Latin America and the Caribbean, encouraging me to critically examine the complexities of these regions and the forces that shape their narratives. The weekly discussion posts were a highlight—this was the first time I genuinely looked forward to reading my classmates’ contributions, as they always added depth to the topics we explored.Professor Henry’s teaching approach was exceptional. Her dedication and enthusiasm made every class feel collaborative and inspiring. Thanks to her, I will NEVER look at the word ""Paradise"" the same. I cannot recommend this course enough—it’s rigorous, eye–opening, and transformative.",0.9748,,0.0,,0.0
AFRAMER 146X,A Black History of Electronic Dance Music 001,aumoithe,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=149b702e6d396eb5be53cb55b2f1d54b69f1d15006c79614b244d6c1970c3c3fceed2d95abe36fe94d33c791043a4c0f&ReportType=2&regl=en-US,FAS-222657-2248-1-1-001,FAS-222657-2248-1-1-001(aumoithe),222657,8,11,4.38,5.0,5.0,0.8585043406822688,4.63,5.0,5.0,0.48685696356352653,6.0,4.0,3.0,4.38,4.63,5.0,5.0,0.52,0.89464,0.8803,0.9449,0.07944015357487674,0.0,0.0,0.0,0.0,"This course was awesome. I added new music to my playlists every week. I had never really thought about EDM as a Black genre, but this class showed me otherwise. Whether it was a discussion about repetition and Blackness or an intellectual conversation about sipping lean, I was always excited for our time together. And the meditation at the beginning of  class was always a treat! Professor Aumoithe is a wonderful and calming person and presence. He does an amazing job facilitating discussion and asks questions that really make you think. His feedback is also easy to understand and incorporate.Workload–wise, the class is less demanding than it previously was. However, it is not necessarily an easy class. You definitely need to stay on top of the weekly discussion posts and other assignments because they will creep up on you. Formatting assignments is a bit tedious, but you should get the hang of it after the first couple times. Overall, loved the course! Would take it again if I could.",0.9935,,0.0,,0.0
AFRAMER 197,"Poverty, Race, and Health 001",Williams,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=273593036d5d19dc977de44cb2c97a6194678b7e8d9bb81c45520947550153fa40cfd907c76e03384c0f86f4084dfdc8&ReportType=2&regl=en-US,FAS-123435-2248-1-1-001,FAS-123435-2248-1-1-001(Williams),123435,32,38,4.72,5.0,5.0,0.5096047190685833,4.89,5.0,5.0,0.31446603773522014,4.67,4.0,3.0,2.62,4.83,5.0,5.0,0.38,0.7953166666666667,0.9547,0.9409,0.36835044537242057,0.08333333333333333,0.0,0.0,0.28867513459481287,"I think you should definitely TAKE THIS CLASSS! Even if you're not interested in medicine or healthcare, you truly learn so much in this class, as our lessons are very much applicable to things going on today. I'd consider this course a gem, to be honest, but you also gain so much from it–– especially a new mindset and perspective on the role of race in our society and how it affects everything. I feel like this should be a mandatory course regardless of your concentration plans. So many people will never learn all that we learned in the course of the semester, and I feel as though they should. Professor Williams is an amazing lecturer and he's so engaging. He's also funny and extremely passionate about the work he does. I'm so glad I took this class. The workload was way more than manageable. Your only assignments are really the three book reports due throughout the course of the semester which are only four pages long and really chill. I'm extremely glad that I took this course freshman year. In classes like these, it is easy to feel hopeless and stuck as it seems like the heartbreaking issues we learn about can't simply be fixed by us. However, Professor Williams would usually end lectures with positive statements about what we CAN do and inspiring stories from successful reform initiatives.",0.9959,"There is not a lot of engagement in lectures, but you can get that with section",-0.1877,"I think you should definitely TAKE THIS CLASSS! Even if you're not interested in medicine or healthcare, you truly learn so much in this class, as our lessons are very much applicable to things going on today. I'd consider this course a gem, to be honest, but you also gain so much from it–– especially a new mindset and perspective on the role of race in our society and how it affects everything. I feel like this should be a mandatory course regardless of your concentration plans. So many people will never learn all that we learned in the course of the semester, and I feel as though they should. Professor Williams is an amazing lecturer and he's so engaging. He's also funny and extremely passionate about the work he does. I'm so glad I took this class. The workload was way more than manageable. Your only assignments are really the three book reports due throughout the course of the semester which are only four pages long and really chill. I'm extremely glad that I took this course freshman year. In classes like these, it is easy to feel hopeless and stuck as it seems like the heartbreaking issues we learn about can't simply be fixed by us. However, Professor Williams would usually end lectures with positive statements about what we CAN do and inspiring stories from successful reform initiatives.",0.9959
AFRAMER 199X,Social Revolutions in Latin America 001,de la Fuente,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3e9483119df44361f96baec4ed8dcba3ffdd8bf30b1ece0eb886b4be68b916eb053f62fe2812c0a929226db408363e0e&ReportType=2&regl=en-US,FAS-110501-2248-1-1-001,FAS-110501-2248-1-1-001(de la Fuente),110501,18,18,4.94,5.0,5.0,0.23868325657594203,5.0,5.0,5.0,0.0,8.78,8.0,6.0,4.24,4.94,5.0,5.0,0.24,0.8074375,0.94255,0.9816,0.2653532610816507,0.0,0.0,0.0,0.0,"Take this class, understand that the readings are long but they are interesting and you learn so much from it and it gets easier to manage as you get through the course. The professor is fantastic, truly and discussions are fun. I really enjoyed taking this and I feel far more comfortable critically thinking and discussing a lot of topics and current events based on what I learned.",0.9864,,0.0,,0.0
AFRAMER 204,African American Intellectual Tradition 001,Perry,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6464454a58c07ad06c37469093d46dce243a08b09993863a58b40f8b3c0ae1d50ce6ead896b8ab90ee07decb175afdda&ReportType=2&regl=en-US,FAS-224439-2248-1-1-001,FAS-224439-2248-1-1-001(Perry),224439,13,24,4.92,5.0,5.0,0.2726599243442907,5.0,5.0,5.0,0.0,9.33,6.0,5.0,7.58,4.77,5.0,5.0,0.6,0.7173142857142857,0.7249,0.9468,0.20969509157004945,0.0,0.0,0.0,0.0,"This course offers a comprehensive overview of Black intellectuals, exploring their contributions to various fields. Participants will gain insights into the historical context, key figures, and significant movements that have shaped Black intellectual thought. Through engaging discussions and in–depth analyses, you will develop a deeper understanding of the ideas and legacies of these influential thinkers and their impact on society.",0.9468,,0.0,,0.0
AFRIKAAN AA,Elementary Afrikaans 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a4bb62c5a8a18401bdf92d14c1193c8f17c41d142c07b15d9ce32139e1dce03ac5a0436f22ccb8ff3658eaa46337b7fa&ReportType=2&regl=en-US,FAS-109427-2248-1-1-001,FAS-109427-2248-1-1-001(Mugane),109427,7,10,4.83,5.0,5.0,0.3775251680686369,0.0,0.0,0.0,-1.0,3.4,3.0,3.0,1.14,4.83,5.0,5.0,0.41,0.8481,0.9414,0.9414,0.18331767508890132,0.0,0.0,0.0,0.0,"This class is amazing. First language class in my life that I’ve actually learnt the language while enjoying learning it! There is work to do but it’s not useless memorization of  random words, it’s real work that will help you COMMUNICATE with someone in Afrikaans. The small class size is also brilliant and crucial to the course. I couldn’t recommend it more ! Adriaan is baie lekker !",0.966,,0.0,,0.0
