course_code,course_title,course_teacher,link,fas_code,unique_code
AFRAMER 86,Race and Public Health Crises: From TB to AIDS to COVID-19 001,Hammonds,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3c86a971df4eb6fef9ac8a7cd960ccc1206172746dc4b01efe3d0bea3788252ce8b35e489855d0602d7c2ba8c4bc78d8&ReportType=2&regl=en-US,FAS-222126-2252-1-1-001,FAS-222126-2252-1-1-001(Hammonds)
AFRAMER 86,Race and Public Health Crises: From TB to AIDS to COVID-19 001,aumoithe,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=61b78075c428272e1243bc78ac1e479372c4aff55bda84960c65d7baadee3643ab07163a65bb73d1406857768e9cbdec&ReportType=2&regl=en-US,FAS-222126-2252-1-1-001,FAS-222126-2252-1-1-001(aumoithe)
AFRAMER 97,Sophomore Tutorial: Understanding Race and Racism 001,Martin,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e03fd904bcf621e9eae3431c3838853d48dcdf6b35f0a430d0b4ed700c3c6c93ecf3b6109d630a14375aa94f7bf72c79&ReportType=2&regl=en-US,FAS-123590-2252-1-1-001,FAS-123590-2252-1-1-001(Martin)
AFRAMER 119X,"Chocolate, Culture, and the Politics of Food 001",Martin,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b041430d423d9c2f3e5dbd639e69b2b7795621e6931e0df7430925b40544e8eefa6e344dadfc35bb9205fc609fede5bb&ReportType=2&regl=en-US,FAS-108879-2252-1-1-001,FAS-108879-2252-1-1-001(Martin)
AFRAMER 123Z,American Democracy 001,Mangabeira Unger,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=36ac5577a158b9c93a570453904283fd44dd0617d19d5e25b42a5f8940d19c572aeb93c37a2b6423956d1e88776a373b&ReportType=2&regl=en-US,FAS-111438-2252-1-1-001,FAS-111438-2252-1-1-001(Mangabeira Unger)
AFRAMER 123Z,American Democracy 001,Stauffer,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4ae00e125515a311e5ca9e62876cf298a193cd0ebeaa70f1bb9aa414deed71cfc9b5913cd54dd7c0fbb692c0f3a3ce55&ReportType=2&regl=en-US,FAS-111438-2252-1-1-001,FAS-111438-2252-1-1-001(Stauffer)
AFRAMER 124,"Tobacco and Sugar, Seminar in Caribbean Counterpoints 001",Sommer,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=33afc2a1be67fe22bfece30daacb0165c04d510d8eb9ac247828255b305e17404fca62a2504ff78e42058967b86d049a&ReportType=2&regl=en-US,FAS-126728-2252-1-1-001,FAS-126728-2252-1-1-001(Sommer)
AFRAMER 132Z,Vision and Justice (The Seminar) 001,Lewis,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5596f7d9b0814de82c28a3290ff657f763765ae29966c6536e36944590d4cdc60f60010c931274561d3d032d0dd2f7d0&ReportType=2&regl=en-US,FAS-205873-2252-1-1-001,FAS-205873-2252-1-1-001(Lewis)
AFRAMER 135Y,Black Feminist Theory Seminar 001,Perry,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=43b071228878aa33d70d92d46c2a5d06ada3bcf76af106a1ff664ec29ab93e187d641273e8546f3c29f4aaaf22ae2863&ReportType=2&regl=en-US,FAS-222229-2252-1-1-001,FAS-222229-2252-1-1-001(Perry)
AFRAMER 154Y,African American Fraternal Associations in U.S. Society and Politics 001,Skocpol,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9ee71ae9da6b8f9334abe5f9f18f4e63097bce131671a97dcd2156643f3d9a2a8331dc6ef9487f0604e7ae50ae212d19&ReportType=2&regl=en-US,FAS-225711-2252-1-1-001,FAS-225711-2252-1-1-001(Skocpol)
AFRAMER 159Y,Healthcare and the Welfare State 001,aumoithe,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a7ee010994f1d93aa7973b545fc3495f15629a1dcbc3bd06c757b08c446b94f9e41a05c2368b4dcb446ffd8607c651f2&ReportType=2&regl=en-US,FAS-225821-2252-1-1-001,FAS-225821-2252-1-1-001(aumoithe)
AFRAMER 177X,W.E.B. Du Bois and His Critics 001,Gates,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=181cf8cf46b63c665de2a9bd2fecfed79b2070ee89df8c6c398703c43eb0743e5ac64c5d7c38141e1b49d2f5161ac1a1&ReportType=2&regl=en-US,FAS-223916-2252-1-1-001,FAS-223916-2252-1-1-001(Gates)
AFRAMER 186,"Religion, Culture, and Society in Africa 001",Olupona,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=617f7f4614d945b4b118c9a6dc858423b0a9a1132cead3fe9a1101158f2ee59ec0bc79bde37aed56a6f8c5323393f181&ReportType=2&regl=en-US,FAS-222688-2252-1-1-001,FAS-222688-2252-1-1-001(Olupona)
AFRAMER 191X,African American Lives in the Law 001,Higginbotham,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c3b21d14e566004cf95be3730e3f41ba7d53cb2c201ba332e0deb49f0a1b4428f8f80761197a5da368adec2d6c037b7c&ReportType=2&regl=en-US,FAS-127960-2252-1-1-001,FAS-127960-2252-1-1-001(Higginbotham)
AFRAMER 223,Storied Lives: Methods in Oral History 001,Henry,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ea4b6fdffd31e0120d2c01dd51ea0e7c50548353ccfc32b70e5c18d40c3a4ee5b3fa1767016828fabc83d703435e322b&ReportType=2&regl=en-US,FAS-225837-2252-1-1-001,FAS-225837-2252-1-1-001(Henry)
AFRIKAAN AB,Elementary Afrikaans 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0247480282e64c347bf1a42807bfd66c09fc1c507f65b0263af8570c751ac0a28f9fe74b79f1b29a06f41b3c709690c7&ReportType=2&regl=en-US,FAS-205831-2252-1-1-001,FAS-205831-2252-1-1-001(Mugane)
IGBO AB,Elementary Igbo 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=531d1a66f3355bc85fae486b6d7e0a265e5a062a030a84df9b1e9f0ebdb80d6d90ca23f79b6045206d87cbf122e87ecf&ReportType=2&regl=en-US,FAS-205854-2252-1-1-001,FAS-205854-2252-1-1-001(Mugane)
SWAHILI AB,Elementary Swahili 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b5e605e3f34dda928c75bb10ae9addc619e551806428fe43a96e665009fe41a77ffa6a66d7d50a99b1c5986e3e6f55f3&ReportType=2&regl=en-US,FAS-159829-2252-1-1-001,FAS-159829-2252-1-1-001(Mugane)
SWAHILI 101BR,Reading in Swahili II 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d99eef87a098e2237a6c15c06ad5c13394c02fe5f743db2fe8693720b7db7d7f863b38a82df2061a191d834dec0ef1f9&ReportType=2&regl=en-US,FAS-119821-2252-1-1-001,FAS-119821-2252-1-1-001(Mugane)
YORUBA AB,Elementary Yoruba 001,Ehineni,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=47441bf8884168ae37020023d4efcfa0fbcb008fa9dc2daed3063256754c26da1419ae69ad7cfcf851c1b8f12c391840&ReportType=2&regl=en-US,FAS-159872-2252-1-1-001,FAS-159872-2252-1-1-001(Ehineni)
ZULU AB,Elementary Zulu 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0d460f1c194c76f660dcef811b59c0fb5648ad82403936db42a825259411899623da250d0f5a9f4374a6851dd745f375&ReportType=2&regl=en-US,FAS-205849-2252-1-1-001,FAS-205849-2252-1-1-001(Mugane)
ANTHRO 97Z,Sophomore Tutorial in Social Anthropology 001,Reddy,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6b5b07199387283d4372aa96045e754c21bad15d328b72da751d7f4f09d87a2e661a942cacfdcf69da737de41f30313f&ReportType=2&regl=en-US,FAS-143028-2252-1-1-001,FAS-143028-2252-1-1-001(Reddy)
ANTHRO 98B,Junior Tutorial for Thesis Writers in Anthropology 001,Khaira,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=beb0d277b009f6d9ade913f146dfe03b3bbfbe2af1fb4c19fabf516154edc569e13c1aa61be39387a4466324ae80c27c&ReportType=2&regl=en-US,FAS-205522-2252-1-1-001,FAS-205522-2252-1-1-001(Khaira)
ANTHRO 99B,Thesis Tutorial in Anthropology - Senior Year 001,Khaira,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=bf7aa3184f2debbbe087d3de9335b389bd9c7b45b7c7d11615ac97e515fc57c37d64ad59d3af21d74ac1e3936d36591b&ReportType=2&regl=en-US,FAS-205185-2252-1-1-001,FAS-205185-2252-1-1-001(Khaira)
ANTHRO 1060,Introduction to Archaeological Science 001,Warinner,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=200f831c314feb76ffa5251a37258810039fedb8a21bdc88fb445cfa44b7ff8ca03873bc6cbebe43f4c31c15062cf015&ReportType=2&regl=en-US,FAS-111192-2252-1-1-001,FAS-111192-2252-1-1-001(Warinner)
ANTHRO 1150,Ancient Landscapes 001,Ur,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0baebda135cb3645e3c1202dcead7108929b85568d2a470f48c963b1fbdce5ac85509dc403618fef958bab10c6a4c101&ReportType=2&regl=en-US,FAS-120579-2252-1-1-001,FAS-120579-2252-1-1-001(Ur)
ANTHRO 1290,Culture and Evolution 001,Clark,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1891f1504fa3f0f6cc51c36a6c45e92a56ca43483f5f527a2480800a86d5dc3dacf7b97cd325d6d7be43f914eec2ed42&ReportType=2&regl=en-US,FAS-224392-2252-1-1-001,FAS-224392-2252-1-1-001(Clark)
ANTHRO 1290,Culture and Evolution 001,Henrich,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=23664dff9984278f9fc74ab200a0d9f0ecee2595a9f0ef1bd41de7174e41ccebc1dfe0ebbc1299bd521cfd3040b01ed6&ReportType=2&regl=en-US,FAS-224392-2252-1-1-001,FAS-224392-2252-1-1-001(Henrich)
ANTHRO 1435,Challenging Collections: Critical Reflections on Collecting Through Harvard’s History 001,Loren,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2ad55c5ebf17972ec0acd4c0964ed296769e49c2b84d148c50ed73bf937bc1d3271195ab7868cdeb1a93e5859e2e39ab&ReportType=2&regl=en-US,FAS-218189-2252-1-1-001,FAS-218189-2252-1-1-001(Loren)
ANTHRO 1709,"The Anthropology of Power: Sovereignty, Hegemony, Resistance 001",Fierman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=39012c9db75490474ef2f1fe67ba19b3e522f97838510b8f387a1c626ab10ff46de8d342512f63035759fbb0924b04b1&ReportType=2&regl=en-US,FAS-218709-2252-1-1-001,FAS-218709-2252-1-1-001(Fierman)
